id,keyword,intent,cluster,volume,allintitle,kgr,priority,density,placement
1,content writing and optimization,Informational,Content Writing,2219,410,0.19,High,1-2%,"H1, intro, H2, meta, alt text"
2,content writing and optimization guide,Informational,Content Writing,2238,574,0.26,Medium,1-2%,"H1, intro, H2, meta, alt text"
3,content writing and optimization template,Informational,Content Writing,2257,672,0.31,Medium,1-2%,"H1, intro, H2, meta, alt text"
4,content writing and optimization examples,Informational,Content Writing,2276,672,0.31,Medium,1-2%,"H1, intro, H2, meta, alt text"
5,content writing and optimization for students,Informational,Content Writing,2295,803,0.36,Medium,1-2%,"H1, intro, H2, meta, alt text"
6,content writing and optimization for beginners,Informational,Content Writing,2314,836,0.38,Medium,1-2%,"H1, intro, H2, meta, alt text"
7,content writing and optimization India,Informational,Content Writing,2333,574,0.26,Medium,1-2%,"H1, intro, H2, meta, alt text"
8,content writing and optimization checklist,Informational,Content Writing,2352,705,0.32,Medium,1-2%,"H1, intro, H2, meta, alt text"
9,content writing and optimization 2026,Informational,Content Writing,2371,541,0.25,High,1-2%,"H1, intro, H2, meta, alt text"
10,seo content writing for beginners,Informational,SEO Writing,1990,315,0.17,High,1-2%,"H1, intro, H2, meta, alt text"
11,seo content writing for beginners guide,Informational,SEO Writing,2009,441,0.24,High,1-2%,"H1, intro, H2, meta, alt text"
12,seo content writing for beginners template,Informational,SEO Writing,2028,516,0.29,Medium,1-2%,"H1, intro, H2, meta, alt text"
13,seo content writing for beginners examples,Informational,SEO Writing,2047,516,0.29,Medium,1-2%,"H1, intro, H2, meta, alt text"
14,seo content writing for beginners for students,Informational,SEO Writing,2066,617,0.34,Medium,1-2%,"H1, intro, H2, meta, alt text"
15,seo content writing for beginners for beginners,Informational,SEO Writing,2085,642,0.36,Medium,1-2%,"H1, intro, H2, meta, alt text"
16,seo content writing for beginners India,Informational,SEO Writing,2104,441,0.24,High,1-2%,"H1, intro, H2, meta, alt text"
17,seo content writing for beginners checklist,Informational,SEO Writing,2123,541,0.3,Medium,1-2%,"H1, intro, H2, meta, alt text"
18,seo content writing for beginners 2026,Informational,SEO Writing,2142,415,0.23,High,1-2%,"H1, intro, H2, meta, alt text"
19,on page seo checklist for blog,Informational,On-Page SEO,1661,210,0.16,High,1-2%,"H1, intro, H2, meta, alt text"
20,on page seo checklist for blog guide,Informational,On-Page SEO,1680,294,0.23,High,1-2%,"H1, intro, H2, meta, alt text"
21,on page seo checklist for blog template,Informational,On-Page SEO,1699,344,0.26,Medium,1-2%,"H1, intro, H2, meta, alt text"
22,on page seo checklist for blog examples,Informational,On-Page SEO,1718,344,0.26,Medium,1-2%,"H1, intro, H2, meta, alt text"
23,on page seo checklist for blog for students,Informational,On-Page SEO,1737,411,0.32,Medium,1-2%,"H1, intro, H2, meta, alt text"
24,on page seo checklist for blog for beginners,Informational,On-Page SEO,1756,428,0.33,Medium,1-2%,"H1, intro, H2, meta, alt text"
25,on page seo checklist for blog India,Informational,On-Page SEO,1775,294,0.23,High,1-2%,"H1, intro, H2, meta, alt text"
26,on page seo checklist for blog checklist,Informational,On-Page SEO,1794,361,0.28,Medium,1-2%,"H1, intro, H2, meta, alt text"
27,on page seo checklist for blog 2026,Informational,On-Page SEO,1813,277,0.21,High,1-2%,"H1, intro, H2, meta, alt text"
28,keyword density in seo content,Informational,SEO Writing,1432,140,0.16,High,1-2%,"H1, intro, H2, meta, alt text"
29,keyword density in seo content guide,Informational,SEO Writing,1451,196,0.22,High,1-2%,"H1, intro, H2, meta, alt text"
